url,mmyy,stamp
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2005/visa-bulletin-for-september-2005.html,SEPTEMBER_2005,2005-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2006/visa-bulletin-for-october-2005.html,OCTOBER_2005,2005-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2006/visa-bulletin-for-november-2005.html,NOVEMBER_2005,2005-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2006/visa-bulletin-for-december-2005.html,DECEMBER_2005,2005-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2006/visa-bulletin-for-january-2006.html,JANUARY_2006,2006-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2006/visa-bulletin-for-february-2006.html,FEBRUARY_2006,2006-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2006/visa-bulletin-for-march-2006.html,MARCH_2006,2006-03-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2006/visa-bulletin-for-april-2006.html,APRIL_2006,2006-04-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2006/visa-bulletin-for-may-2006.html,MAY_2006,2006-05-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2006/visa-bulletin-for-june-2006.html,JUNE_2006,2006-06-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2006/visa-bulletin-for-july-2006.html,JULY_2006,2006-07-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2006/visa-bulletin-for-august-2006.html,AUGUST_2006,2006-08-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2006/visa-bulletin-for-september-2006.html,SEPTEMBER_2006,2006-09-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2007/visa-bulletin-for-october-2006.html,OCTOBER_2006,2006-10-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2007/visa-bulletin-for-november-2006.html,NOVEMBER_2006,2006-11-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2007/visa-bulletin-for-december-2006.html,DECEMBER_2006,2006-12-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2007/visa-bulletin-for-january-2007.html,JANUARY_2007,2007-01-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2007/visa-bulletin-for-february-2007.html,FEBRUARY_2007,2007-02-01
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2007/visa-bulletin-for-march-2007.html,MARCH_2007,2007-03-01
